ticker,date,close_price
AAPL,2022-01-03,177.94
AAPL,2022-01-04,175.68
AAPL,2022-01-05,171.01
AAPL,2022-01-06,168.15
AAPL,2022-01-07,168.32
AAPL,2022-01-10,168.34
AAPL,2022-01-11,171.16
AAPL,2022-01-12,171.6
AAPL,2022-01-13,168.34
AAPL,2022-01-14,169.2
AAPL,2022-01-18,166.0
AAPL,2022-01-19,162.51
AAPL,2022-01-20,160.83
AAPL,2022-01-21,158.78
AAPL,2022-01-24,158.01
AAPL,2022-01-25,156.21
AAPL,2022-01-26,156.12
AAPL,2022-01-27,155.66
AAPL,2022-01-28,166.52
AAPL,2022-01-31,170.87
AAPL,2022-02-01,170.71
AAPL,2022-02-02,171.91
AAPL,2022-02-03,169.03
AAPL,2022-02-04,168.75
AAPL,2022-02-07,168.03
AAPL,2022-02-08,171.14
AAPL,2022-02-09,172.56
AAPL,2022-02-10,168.49
AAPL,2022-02-11,165.08
AAPL,2022-02-14,165.31
AAPL,2022-02-15,169.14
AAPL,2022-02-16,168.91
AAPL,2022-02-17,165.31
AAPL,2022-02-18,163.77
AAPL,2022-02-22,160.85
AAPL,2022-02-23,156.69
AAPL,2022-02-24,159.3
AAPL,2022-02-25,161.37
AAPL,2022-02-28,161.63
AAPL,2022-03-01,159.75
AAPL,2022-03-02,163.04
AAPL,2022-03-03,162.72
AAPL,2022-03-04,159.72
AAPL,2022-03-07,155.94
AAPL,2022-03-08,154.12
AAPL,2022-03-09,159.51
AAPL,2022-03-10,155.17
AAPL,2022-03-11,151.46
AAPL,2022-03-14,147.44
AAPL,2022-03-15,151.81
AAPL,2022-03-16,156.22
AAPL,2022-03-17,157.23
AAPL,2022-03-18,160.52
AAPL,2022-03-21,161.89
AAPL,2022-03-22,165.25
AAPL,2022-03-23,166.62
AAPL,2022-03-24,170.39
AAPL,2022-03-25,171.03
AAPL,2022-03-28,171.89
AAPL,2022-03-29,175.18
AAPL,2022-03-30,174.02
AAPL,2022-03-31,170.92
AAPL,2022-04-01,170.63
AAPL,2022-04-04,174.67
AAPL,2022-04-05,171.36
AAPL,2022-04-06,168.2
AAPL,2022-04-07,168.5
AAPL,2022-04-08,166.5
AAPL,2022-04-11,162.25
AAPL,2022-04-12,164.12
AAPL,2022-04-13,166.8
AAPL,2022-04-14,161.8
AAPL,2022-04-18,161.58
AAPL,2022-04-19,163.86
AAPL,2022-04-20,163.7
AAPL,2022-04-21,162.91
AAPL,2022-04-22,158.37
AAPL,2022-04-25,159.44
AAPL,2022-04-26,153.49
AAPL,2022-04-27,153.26
AAPL,2022-04-28,160.18
AAPL,2022-04-29,154.32
AAPL,2022-05-02,154.62
AAPL,2022-05-03,156.11
AAPL,2022-05-04,162.51
AAPL,2022-05-05,153.46
AAPL,2022-05-06,154.18
AAPL,2022-05-09,149.07
AAPL,2022-05-10,151.47
AAPL,2022-05-11,143.62
AAPL,2022-05-12,139.75
AAPL,2022-05-13,144.22
AAPL,2022-05-16,142.68
AAPL,2022-05-17,146.3
AAPL,2022-05-18,138.05
AAPL,2022-05-19,134.65
AAPL,2022-05-20,134.88
AAPL,2022-05-23,140.29
AAPL,2022-05-24,137.6
AAPL,2022-05-25,137.75
AAPL,2022-05-26,140.95
AAPL,2022-05-27,146.7
AAPL,2022-05-31,145.91
AAPL,2022-06-01,145.78
AAPL,2022-06-02,148.23
AAPL,2022-06-03,142.52
AAPL,2022-06-06,143.26
AAPL,2022-06-07,145.78
